overflow_events,rain_mm,impervious_pct,combined_sewer,maintenance_overdue,upstream_construction,catchment_type,rain_c,green_infra_index
5,27.0,56.8,0,0,0,Residential,-0.9595959595959584,45.8
4,12.7,38.6,1,0,0,Residential,-15.25959595959596,57.1
3,32.5,35.1,0,1,0,Mixed,4.5404040404040416,46.7
0,12.1,38.7,0,0,1,Mixed,-15.859595959595959,50.8
2,29.8,39.7,0,0,1,Mixed,1.8404040404040423,45.8
0,29.3,24.5,0,1,0,Mixed,1.3404040404040423,48.9
1,15.4,6.0,0,1,0,Residential,-12.559595959595958,50.2
2,33.6,8.9,1,0,0,Mixed,5.640404040404043,47.8
4,64.2,38.2,0,0,0,Mixed,36.240404040404044,46.5
0,27.9,26.9,0,0,0,Residential,-0.05959595959595987,46.6
2,29.9,55.8,0,0,0,Commercial,1.9404040404040401,45.9
1,5.2,25.9,0,0,0,Industrial,-22.75959595959596,42.1
2,21.6,43.0,1,1,0,Commercial,-6.359595959595957,48.7
1,8.3,65.5,0,0,0,Residential,-19.659595959595958,52.0
3,20.1,59.5,1,0,0,Residential,-7.859595959595957,54.5
2,32.9,36.6,1,0,0,Commercial,4.94040404040404,53.2
2,29.0,26.5,1,1,1,Commercial,1.0404040404040416,62.3
2,16.4,46.9,0,0,0,Commercial,-11.55959595959596,51.6
2,17.6,48.4,0,0,0,Mixed,-10.359595959595957,47.7
2,17.2,56.0,0,1,0,Residential,-10.75959595959596,59.4
0,14.7,54.1,0,0,1,Industrial,-13.25959595959596,44.8
6,23.7,54.1,1,1,0,Residential,-4.259595959595959,54.8
2,39.9,48.0,1,0,0,Commercial,11.94040404040404,45.2
4,44.2,57.8,1,0,1,Residential,16.240404040404044,51.8
2,42.4,11.7,1,0,0,Mixed,14.44040404040404,40.2
2,13.3,72.6,1,1,1,Residential,-14.659595959595958,54.5
4,22.5,46.1,1,1,0,Residential,-5.4595959595959584,49.2
1,23.8,41.7,0,0,0,Commercial,-4.159595959595958,45.2
1,20.5,60.8,0,1,1,Industrial,-7.4595959595959584,58.4
4,58.2,44.5,0,0,1,Commercial,30.240404040404044,53.8
3,32.9,27.5,0,0,1,Residential,4.94040404040404,50.2
2,20.1,44.9,1,1,0,Mixed,-7.859595959595957,46.3
7,32.9,49.8,0,0,1,Industrial,4.94040404040404,49.8
1,5.4,76.4,0,1,0,Residential,-22.55959595959596,49.2
2,30.8,58.7,0,0,1,Residential,2.8404040404040423,53.6
2,26.4,52.7,1,0,0,Residential,-1.5595959595959599,54.0
3,26.8,38.8,1,0,0,Residential,-1.1595959595959577,46.7
0,17.9,49.1,0,1,1,Residential,-10.05959595959596,47.3
4,43.5,62.7,1,1,1,Residential,15.540404040404042,47.3
5,52.7,62.8,0,0,1,Residential,24.740404040404044,43.3
1,26.4,16.7,1,1,0,Mixed,-1.5595959595959599,47.0
5,53.8,23.9,0,0,0,Industrial,25.84040404040404,49.5
3,24.3,51.9,0,1,0,Commercial,-3.6595959595959577,53.5
4,23.5,67.7,1,1,0,Commercial,-4.4595959595959584,56.6
1,23.4,45.1,1,0,0,Mixed,-4.55959595959596,46.0
1,34.9,40.9,0,0,0,Mixed,6.94040404040404,52.8
1,9.9,41.4,0,0,1,Residential,-18.05959595959596,47.8
3,41.3,27.4,1,1,1,Residential,13.340404040404039,60.4
5,48.3,22.4,0,0,0,Residential,20.34040404040404,49.8
2,10.0,26.7,0,0,0,Commercial,-17.95959595959596,52.5
5,8.7,46.9,1,1,0,Mixed,-19.25959595959596,45.3
0,26.1,26.4,0,1,0,Mixed,-1.859595959595957,45.9
4,26.3,65.1,1,1,1,Residential,-1.6595959595959577,51.0
1,9.1,15.7,1,0,0,Residential,-18.859595959595957,48.1
2,31.6,5.2,0,0,0,Commercial,3.640404040404043,51.8
1,15.6,42.2,1,0,1,Industrial,-12.359595959595959,42.2
3,26.7,42.4,0,0,0,Industrial,-1.2595959595959592,53.3
1,21.3,30.3,0,1,1,Residential,-6.659595959595958,45.5
3,14.0,54.8,1,1,1,Residential,-13.959595959595958,58.6
4,8.1,38.9,1,0,0,Industrial,-19.859595959595957,48.6
0,22.7,57.3,0,0,0,Commercial,-5.259595959595959,55.5
2,33.2,30.2,1,1,0,Mixed,5.240404040404044,43.0
0,12.9,34.1,1,0,0,Commercial,-15.059595959595958,52.1
7,65.0,31.6,1,1,0,Mixed,37.04040404040404,45.6
3,52.1,53.5,0,1,0,Commercial,24.140404040404043,47.6
2,30.0,58.3,0,0,1,Residential,2.0404040404040416,50.1
1,4.9,28.1,1,0,1,Industrial,-23.05959595959596,48.4
2,23.0,39.1,1,1,0,Mixed,-4.9595959595959584,51.3
2,20.9,23.2,0,0,0,Industrial,-7.05959595959596,53.7
10,52.0,63.5,1,1,0,Residential,24.04040404040404,53.3
3,10.5,49.2,0,1,1,Industrial,-17.45959595959596,49.6
2,18.8,48.0,1,0,0,Residential,-9.159595959595958,43.2
2,22.4,15.8,1,0,1,Industrial,-5.55959595959596,46.0
3,10.0,47.3,0,0,0,Mixed,-17.95959595959596,49.0
1,26.0,30.6,0,0,1,Residential,-1.9595959595959584,39.4
1,33.7,34.9,0,0,0,Residential,5.740404040404044,53.8
6,55.4,62.4,0,0,1,Residential,27.44040404040404,48.8
4,22.1,36.5,1,1,0,Residential,-5.859595959595957,48.7
2,32.5,30.6,0,0,1,Industrial,4.5404040404040416,54.7
3,30.2,32.0,1,0,1,Mixed,2.240404040404041,53.3
4,34.1,44.9,1,0,0,Residential,6.140404040404043,51.1
2,22.6,34.1,0,0,0,Commercial,-5.359595959595957,45.0
6,45.6,37.0,1,0,0,Residential,17.640404040404043,51.6
6,29.9,55.6,0,1,1,Mixed,1.9404040404040401,51.7
3,16.5,64.0,0,0,0,Residential,-11.459595959595958,45.6
1,39.4,16.1,1,0,1,Residential,11.44040404040404,55.2
0,12.2,6.8,0,0,0,Commercial,-15.75959595959596,52.5
2,40.1,48.2,0,0,0,Commercial,12.140404040404043,40.2
1,24.2,29.1,1,0,0,Mixed,-3.759595959595959,50.6
1,24.3,5.0,0,1,0,Industrial,-3.6595959595959577,43.7
5,50.3,58.1,1,0,0,Residential,22.34040404040404,55.7
5,9.2,55.2,1,1,0,Residential,-18.75959595959596,54.0
2,7.5,57.0,1,0,0,Residential,-20.45959595959596,44.5
1,9.7,42.6,1,1,1,Commercial,-18.25959595959596,45.6
6,18.6,47.1,1,1,0,Commercial,-9.359595959595957,50.5
4,44.4,78.7,0,0,0,Commercial,16.44040404040404,48.8
0,13.4,26.5,0,1,0,Commercial,-14.559595959595958,57.6
1,36.7,10.4,1,0,0,Residential,8.740404040404044,53.7
0,13.2,22.7,0,0,0,Mixed,-14.75959595959596,48.6
4,36.8,58.2,0,1,1,Mixed,8.840404040404039,52.9
4,17.5,46.6,0,0,0,Residential,-10.459595959595958,39.8
0,35.9,30.9,0,1,1,Mixed,7.94040404040404,51.5
1,44.4,26.8,0,0,0,Residential,16.44040404040404,54.3
4,36.8,36.4,0,0,0,Residential,8.840404040404039,49.1
1,20.9,60.6,1,0,0,Residential,-7.05959595959596,46.4
1,17.3,58.2,0,0,0,Residential,-10.659595959595958,52.8
6,24.8,35.4,1,0,0,Mixed,-3.1595959595959577,59.8
7,49.8,35.5,1,1,0,Residential,21.84040404040404,51.0
4,44.4,41.2,1,1,0,Residential,16.44040404040404,44.4
3,22.9,50.7,0,1,0,Commercial,-5.05959595959596,57.2
3,10.9,45.3,1,0,0,Residential,-17.05959595959596,40.6
4,37.0,45.5,0,0,0,Commercial,9.040404040404042,52.5
2,10.0,55.9,0,1,0,Mixed,-17.95959595959596,47.1
2,32.3,48.8,1,0,0,Mixed,4.340404040404039,54.7
3,39.9,48.3,1,0,0,Commercial,11.94040404040404,45.8
0,14.9,43.3,1,0,0,Mixed,-13.059595959595958,56.6
2,29.3,46.3,0,1,1,Residential,1.3404040404040423,51.5
9,22.8,47.1,1,1,1,Commercial,-5.159595959595958,41.4
2,29.0,54.5,0,0,0,Commercial,1.0404040404040416,40.1
0,17.2,27.6,1,0,1,Residential,-10.75959595959596,48.4
1,29.1,5.4,0,0,0,Mixed,1.140404040404043,56.5
0,21.4,33.3,0,0,0,Commercial,-6.55959595959596,50.6
0,23.3,37.1,0,1,0,Industrial,-4.659595959595958,50.3
1,7.8,43.2,0,0,0,Commercial,-20.159595959595958,48.8
3,3.3,33.0,0,0,0,Industrial,-24.659595959595958,53.7
1,10.2,44.8,0,0,0,Industrial,-17.75959595959596,51.9
2,27.4,38.1,0,0,0,Commercial,-0.5595959595959599,51.4
6,17.6,25.2,1,1,0,Commercial,-10.359595959595957,45.1
3,30.9,65.0,0,0,1,Commercial,2.94040404040404,55.9
3,38.9,48.1,1,1,0,Mixed,10.94040404040404,56.8
0,12.8,47.9,0,1,0,Residential,-15.159595959595958,43.5
2,47.0,42.9,0,0,0,Residential,19.04040404040404,61.5
3,27.8,31.8,1,0,0,Mixed,-0.15959595959595774,53.6
3,10.8,47.4,1,0,0,Industrial,-17.159595959595958,47.6
3,14.0,68.5,1,1,0,Residential,-13.959595959595958,40.5
5,18.7,42.8,1,1,0,Residential,-9.25959595959596,53.3
7,43.8,40.3,1,0,0,Industrial,15.840404040404039,52.8
6,37.3,56.9,0,0,0,Commercial,9.340404040404039,47.0
2,19.8,28.1,1,0,0,Mixed,-8.159595959595958,41.0
3,52.8,39.6,0,0,0,Residential,24.84040404040404,55.6
5,68.1,40.5,0,1,0,Commercial,40.140404040404036,47.1
2,55.7,37.9,0,1,1,Residential,27.740404040404044,47.6
2,29.7,47.3,1,0,1,Residential,1.7404040404040408,64.2
1,26.2,26.9,0,0,0,Commercial,-1.7595959595959592,60.6
4,10.2,36.1,0,0,0,Residential,-17.75959595959596,54.8
2,6.9,33.6,1,1,0,Industrial,-21.05959595959596,47.7
2,31.0,39.0,0,0,0,Residential,3.0404040404040416,53.2
2,8.9,36.4,1,0,1,Mixed,-19.05959595959596,38.6
4,16.5,15.3,0,0,0,Commercial,-11.459595959595958,50.5
9,23.3,33.1,1,1,0,Residential,-4.659595959595958,46.2
0,24.6,46.6,0,0,1,Commercial,-3.359595959595957,43.6
1,19.5,45.7,0,1,0,Industrial,-8.459595959595958,42.1
3,48.0,60.4,1,0,1,Residential,20.04040404040404,52.6
2,24.1,32.3,1,0,0,Commercial,-3.859595959595957,50.4
3,47.6,21.0,1,0,0,Commercial,19.640404040404043,50.8
3,31.8,41.8,0,0,0,Commercial,3.8404040404040423,54.2
1,15.6,28.5,0,0,1,Commercial,-12.359595959595959,45.8
3,43.9,57.7,0,0,1,Commercial,15.94040404040404,43.8
2,14.6,17.2,0,0,0,Residential,-13.359595959595959,41.1
1,22.3,35.5,0,1,0,Industrial,-5.659595959595958,48.3
2,34.0,16.7,0,0,1,Residential,6.0404040404040416,53.8
0,17.3,24.5,0,0,0,Residential,-10.659595959595958,49.3
2,8.8,16.1,1,0,0,Commercial,-19.159595959595958,53.2
2,18.7,51.1,0,1,1,Commercial,-9.25959595959596,44.1
2,20.9,42.3,1,0,0,Mixed,-7.05959595959596,47.7
3,24.4,32.5,0,0,1,Industrial,-3.55959595959596,46.2
0,17.4,17.9,0,0,0,Residential,-10.55959595959596,43.8
2,26.9,55.5,0,1,0,Residential,-1.0595959595959599,59.3
2,31.4,61.6,1,0,0,Mixed,3.44040404040404,54.3
1,33.1,40.1,0,0,0,Residential,5.140404040404043,46.2
2,49.2,43.9,0,1,0,Commercial,21.240404040404044,46.2
5,44.4,22.7,1,1,1,Residential,16.44040404040404,49.7
1,42.3,35.1,1,0,0,Residential,14.340404040404039,42.8
3,19.1,40.2,1,0,0,Residential,-8.859595959595957,52.2
1,20.0,49.1,0,1,0,Residential,-7.9595959595959584,43.5
0,27.7,23.7,1,1,1,Residential,-0.25959595959595916,48.1
3,11.1,29.8,1,1,0,Residential,-16.859595959595957,44.9
1,10.9,16.1,1,1,0,Commercial,-17.05959595959596,47.6
2,19.6,34.8,1,1,0,Mixed,-8.359595959595957,43.3
0,16.7,31.7,0,0,0,Commercial,-11.25959595959596,42.1
3,27.4,28.3,0,0,0,Mixed,-0.5595959595959599,45.2
1,38.4,16.5,1,1,0,Residential,10.44040404040404,46.6
4,19.8,25.0,0,0,0,Commercial,-8.159595959595958,48.5
1,20.8,17.1,0,1,0,Residential,-7.159595959595958,50.3
2,16.6,42.4,0,0,0,Mixed,-11.359595959595957,57.6
4,19.4,25.0,1,1,0,Residential,-8.55959595959596,54.1
4,30.6,25.4,1,0,0,Residential,2.640404040404043,48.7
5,52.6,61.1,1,0,1,Residential,24.640404040404043,53.6
2,34.7,36.0,1,0,1,Residential,6.740404040404044,46.6
4,45.3,39.0,0,0,0,Commercial,17.34040404040404,57.2
1,12.4,18.6,0,1,0,Mixed,-15.559595959595958,52.7
7,41.0,57.6,0,1,1,Residential,13.040404040404042,43.2
1,13.1,84.4,0,0,0,Residential,-14.859595959595959,53.8
0,3.6,37.7,0,1,1,Residential,-24.359595959595957,54.1
7,45.5,66.0,0,0,1,Mixed,17.54040404040404,36.6
0,25.4,42.7,0,0,0,Residential,-2.55959595959596,46.3
2,62.1,32.5,0,1,0,Residential,34.14040404040404,47.6
3,6.8,56.9,1,0,0,Industrial,-21.159595959595958,40.4
1,33.0,41.4,1,1,0,Mixed,5.0404040404040416,44.7
2,27.6,29.9,0,0,0,Commercial,-0.359595959595957,45.3
5,24.3,23.2,0,0,0,Mixed,-3.6595959595959577,52.5
0,24.8,28.1,0,1,0,Commercial,-3.1595959595959577,51.5
2,13.1,39.9,0,1,0,Commercial,-14.859595959595959,63.1
0,36.7,17.4,0,0,0,Residential,8.740404040404044,48.0
3,13.6,38.3,1,1,1,Commercial,-14.359595959595959,55.8
3,61.0,29.6,0,1,1,Mixed,33.04040404040404,50.4
2,28.8,47.5,0,0,1,Industrial,0.8404040404040423,51.4
2,36.1,45.3,0,0,0,Residential,8.140404040404043,44.2
